z_mm,radius_mm,diameter_mm
0.0,38.0,76.0
5.0,38.049449141996625,76.09889828399325
10.0,38.19741247830212,76.39482495660424
15.0,38.442752504008986,76.88550500801797
20.0,38.78362128721611,77.56724257443221
25.0,39.217527972001136,78.43505594400227
30.0,39.74142524291191,79.48285048582382
35.0,40.351808143625924,80.70361628725185
40.0,41.044818437907736,82.08963687581547
45.0,41.81634824755027,83.63269649510055
50.0,42.66213779147462,85.32427558294924
55.0,43.57786343013971,87.15572686027942
60.0,44.55921365275451,89.11842730550902
65.0,45.60195194930274,91.20390389860547
70.0,46.70196657358213,93.40393314716427
75.0,47.85530798262848,95.71061596525696
80.0,49.05821523866561,98.11643047733122
85.0,50.307132920819846,100.61426584163969
90.0,51.59872016863988,103.19744033727976
95.0,52.92985342308202,105.85970684616404
100.0,54.29762429199888,108.59524858399776
105.0,55.69933378542297,111.39866757084594
110.0,57.13248396966152,114.26496793932304
115.0,58.59476789753566,117.18953579507132
120.0,60.08405849647056,120.16811699294112
125.0,61.598396942349815,123.19679388469963
130.0,63.135980916954644,126.27196183390929
135.0,64.69515303980361,129.39030607960723
140.0,66.27438967927152,132.54877935854304
145.0,67.87229028031268,135.74458056062537
150.0,69.48756729407714,138.97513458815428
155.0,71.11903675543945,142.2380735108789
160.0,72.76560952546862,145.53121905093724
165.0,74.42628319500558,148.85256639001116
170.0,76.10013463097252,152.20026926194504
175.00000000000003,77.78631313733729,155.57262627467458
180.0,79.48403419660087,158.96806839320175
185.0,81.1925737543263,162.3851475086526
190.0,82.91126300784346,165.82252601568692
195.0,84.63948366027904,169.27896732055808
200.0,86.37666360204166,172.75332720408332
205.00000000000003,88.12227298351235,176.2445459670247
210.0,89.87582064470867,179.75164128941734
215.0,91.63685086993004,183.2737017398601
220.0,93.40494043772269,186.80988087544537
225.0,95.17969593883994,190.35939187767988
230.0,96.9607513371483,193.9215026742966
235.00000000000003,98.74776575061006,197.4955315012201
240.0,100.54042143152765,201.0808428630553
245.0,102.33842192715203,204.67684385430405
250.0,104.14149040353306,208.2829808070661
255.0,105.9493681171215,211.898736234243
260.0,107.76181302012439,215.52362604024879
265.0,109.57859848697626,219.15719697395252
270.0,111.39951215052263,222.79902430104525
275.0,113.22435483763066,226.4487096752613
280.0,115.05293959495222,230.10587918990444
285.00000000000006,116.8850907964764,233.7701815929528
290.0,118.72064332532953,237.44128665065907
295.0,120.55944182302134,241.1188836460427
300.0,122.40133999999999,244.80267999999998
