scenario_id,driver_id,label,sensitivity_only,nominal_band_covers_target,profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_500_db,spl_6500_db,level_6500_relative_mid_db,max_excursion_mm,max_throat_speed_m_s
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,exponential,0.076,0.245,0.15,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,3.413755887871247,103.63010383112615,101.700601421905,101.98077289404553,-1.5653957130731868,0.04668301506224694,0.3110400213489019
beyma-6mcf200nd,beyma-6mcf200nd,Beyma 6MCF200Nd,False,True,conical,0.076,0.19,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.086106929759744,3.5465104616908576,104.4441006770335,102.54763078969278,102.8506330102136,-0.7910923496163491,0.05335130043482415,0.3786656016927731
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,conical,0.076,0.21,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,3.6321127906571604,102.21051203327032,100.68938400914377,100.91519404732429,-0.49354097833308685,0.04790582535005864,0.318623811959527
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,conical,0.068,0.19,0.125,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.6346803612681975,3.7775391892561743,102.3097293349284,100.21232119727455,100.47719605678773,-1.0355912102833713,0.04556088014499095,0.3814780487379989
beyma-6mcf200nd,beyma-6mcf200nd,Beyma 6MCF200Nd,False,True,exponential,0.076,0.21,0.15,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.086106929759744,3.797170090179719,105.41142960652192,104.14650278212845,103.58580995999482,-1.3958959747672566,0.050012756848799154,0.35675310935170007
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,exponential,0.076,0.21,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,3.8289844340539503,102.53832447545608,100.07882310288764,100.80504872175146,-1.4613133227559842,0.04726306124943153,0.3153061182010588
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,exponential,0.076,0.245,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,3.8661224661770035,103.8473022346027,104.98644388965988,101.63756654598872,-2.320993774933214,0.04524784469786757,0.30036730786742455
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,exponential,0.076,0.21,0.15,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,3.870176525599504,102.78637082553884,102.29599508190759,100.589069081347,-1.7952852320321426,0.042865659933379444,0.2882984994591295
beyma-6mcf200nd,beyma-6mcf200nd,Beyma 6MCF200Nd,False,True,exponential,0.076,0.19,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.086106929759744,3.976737882644869,104.68113413985098,102.12997214910067,102.76163657396697,-1.4890966991866037,0.053410212662915076,0.3800227512639977
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,conical,0.076,0.19,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,4.038805107425247,101.79722849274374,100.70335918016497,99.85408402194054,-1.165627182100991,0.04575994921380144,0.3062261503448502
