frequency,spl,phase_deg,z_real,z_imag,schema_version,inlet_p_real,inlet_p_imag,inlet_u_real,inlet_u_imag,relative_residual,converged_reason,inlet_area_m2,mesh_inlet_area_m2,mouth_area_m2,mesh_mouth_area_m2,mouth_u_real,mouth_u_imag,mouth_p_real,mouth_p_imag,radiation_model,loss_model,flange_width_m,air_c_m_s,air_rho_kg_m3,air_gamma,air_viscosity_pa_s,air_conductivity_w_m_k,air_heat_capacity_j_kg_k,element_degree,input_acoustic_power_w,mouth_acoustic_power_w,viscous_wall_power_w,thermal_wall_power_w,power_balance_available,bc_mode,phasor_convention,mesh_cells,modal_mode_count,modal_interface_relative_error,modal_v_0_real,modal_v_0_imag,modal_v_1_real,modal_v_1_imag,modal_v_2_real,modal_v_2_imag,modal_v_3_real,modal_v_3_imag,modal_v_4_real,modal_v_4_imag,modal_v_5_real,modal_v_5_imag,modal_v_6_real,modal_v_6_imag,modal_v_7_real,modal_v_7_imag,modal_v_8_real,modal_v_8_imag,modal_v_9_real,modal_v_9_imag,modal_v_10_real,modal_v_10_imag,modal_v_11_real,modal_v_11_imag,modal_v_12_real,modal_v_12_imag,modal_v_13_real,modal_v_13_imag,modal_v_14_real,modal_v_14_imag,modal_v_15_real,modal_v_15_imag
565.6854249492379,79.7532052798694,-32.857862998208034,143.42941967979712,550.2844031334669,2,1.0,0.0,1.4715726834931874e-06,-5.645867476919212e-06,3.1679552414240304e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-8.106988273544814e-07,-1.5244374449075969e-05,0.1603743426777568,-0.1035835890914145,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.4715726834931874e-06,1.4715726834931866e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,6.198636166048163e-16,-3.2792493440704015e-05,-0.0006166297918059,-1.975680086763159e-05,9.414137447973537e-05,-5.983644640277467e-06,1.5170908026187773e-05,-2.843731349109396e-06,5.685151272336501e-07,-1.014995077142304e-06,-3.915903633078713e-06,4.77261738783604e-07,-4.548538230168041e-06,1.7759539658644825e-06,-4.626546054718754e-06,3.242398063611428e-06,-3.876689216816126e-06,4.8047884237098926e-06,-2.903370018066619e-06,6.245305395384307e-06,2.5521767630343454e-07,8.069339669571082e-06,2.73700136057252e-06,1.034164537927719e-05,5.067844906203358e-06,1.2898713981392064e-05,7.175545936866887e-06,1.5676105717188076e-05,9.149702169122708e-06,1.8441810493238904e-05,1.0915107069243569e-05,2.1164662728160903e-05,1.2951646944149048e-05
576.1476427247859,79.88567319439771,-33.7596467168176,160.50644086450995,569.9474255314144,2,1.0,0.0,1.518940780225008e-06,-5.393655124124942e-06,3.1589084786603934e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-9.10223613040266e-07,-1.5238554269215612e-05,0.1611358219785495,-0.1077067609260254,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.518940780225008e-06,1.5189407802250072e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,1.1223574789631991e-15,-3.681823736886381e-05,-0.0006163943674986,-2.048369019512166e-05,9.328816807169376e-05,-6.2841314300255656e-06,1.5016504370752252e-05,-3.061625992266167e-06,4.64999759110011e-07,-1.183602542234093e-06,-4.011390417901806e-06,3.489754067567047e-07,-4.66081943669169e-06,1.6818307312164075e-06,-4.749995736066987e-06,3.1831626158881537e-06,-4.017209697941422e-06,4.777250504056517e-06,-3.0690402195828176e-06,6.236213554563423e-06,2.7060709720600276e-08,8.086703979364655e-06,2.459978863158349e-06,1.0396325752422124e-05,4.742229667693263e-06,1.2996430982866048e-05,6.7958805755581625e-06,1.5821814323925487e-05,8.713852425307894e-06,1.863158443772465e-05,1.0420256853670649e-05,2.1396957358981336e-05,1.239891281473702e-05
586.8033567368556,80.02292050141607,-34.6990392122661,180.1360608237424,590.1913790578576,2,1.0,0.0,1.5696240106292087e-06,-5.142660249143623e-06,3.588880836393325e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.0182135322072292e-06,-1.524171391333598e-05,0.1618573861674545,-0.1120713521809072,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.5696240106292087e-06,1.5696240106292083e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,3.947182571235865e-16,-4.1186393083977926e-05,-0.0006165221740349,-2.1248712967178904e-05,9.251304121518585e-05,-6.6013554751976725e-06,1.4882530515961418e-05,-3.2933553341821613e-06,3.678492865192185e-07,-1.363963689115689e-06,-4.106100196760787e-06,2.1085192153183178e-07,-4.775090342613407e-06,1.5796122414571002e-06,-4.877221252792217e-06,3.1176785162759547e-06,-4.1627435304019215e-06,4.745044976107856e-06,-3.2408973262542437e-06,6.223115080675466e-06,-2.0740477065102794e-07,8.101246497349604e-06,2.1762305961225776e-06,1.0449974277201056e-05,4.4089896785766495e-06,1.3095118973626013e-05,6.407091856907941e-06,1.5970726058164506e-05,8.267006793766832e-06,1.8826480531664616e-05,9.912416569213078e-06,2.163626959573625e-05,1.1831554007565517e-05
597.6561456524518,80.16507345593405,-35.67836827350743,202.7295620935813,610.8282740140111,2,1.0,0.0,1.623899952257167e-06,-4.8928434253254185e-06,3.4958552756790255e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.135513848138765e-06,-1.525393274779496e-05,0.1625269385771474,-0.1166944332061943,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.623899952257167e-06,1.6238999522571665e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,4.753807474237847e-16,-4.593115120004643e-05,-0.0006170164217571,-2.2053482191093705e-05,9.182102650365428e-05,-6.936162409452332e-06,1.477083405561236e-05,-3.539852182805363e-06,2.7802538544216284e-07,-1.5569920013725966e-06,-4.199491393525447e-06,6.20366643004011e-08,-4.891095825925391e-06,1.4685179531601708e-06,-5.008175164227096e-06,3.0452563510785988e-06,-4.313429408576712e-06,4.707549319640819e-06,-3.419259999796168e-06,6.2053837956040265e-06,-4.486313347290195e-07,8.112378655640832e-06,1.8851560899374112e-06,1.050207380015024e-05,4.0673223302185696e-06,1.3194329631744776e-05,6.008121166145636e-06,1.612246770395987e-05,7.807814530412574e-06,1.9026171909244795e-05,9.389948032337711e-06,2.1882326883593413e-05,1.1247670392880829e-05
608.7096543251765,80.31225233880888,-36.70014051305779,228.7477793748317,631.5705927128413,2,1.0,0.0,1.6820710666015366e-06,-4.644183315886387e-06,3.5416811277433586e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.2630613762482862e-06,-1.527526125906049e-05,0.163130245627137,-0.1215941600263647,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.6820710666015366e-06,1.682071066601538e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,9.843090469454164e-16,-5.109040558377163e-05,-0.0006178791528259,-2.289951748022504e-05,9.121782987522411e-05,-7.289388218086127e-06,1.4683515387764624e-05,-3.802094585705535e-06,1.966450997374061e-07,-1.7636663066828518e-06,-4.290914972272489e-06,-9.839927428972532e-08,-5.008506902414266e-06,1.347689728605923e-06,-5.142761787936208e-06,2.965128715327852e-06,-4.469381308190256e-06,4.664060453894918e-06,-3.604443465530796e-06,6.18230558625854e-06,-6.970793627923059e-07,8.119420041915868e-06,1.5861321150792707e-06,1.0552012117371798e-05,3.716379896342419e-06,1.3293513349900425e-05,5.597836807918645e-06,1.6276557299578174e-05,7.334819676322693e-06,1.9230212750894546e-05,8.851077690261532e-06,2.2134729653114667e-05,1.064519880948899e-05
619.967595019335,80.46456924925883,-37.767055248208734,258.69197489221546,651.996457135186,2,1.0,0.0,1.7444664984365845e-06,-4.3966805582027456e-06,3.3179543664292284e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.4018939000318749e-06,-1.5305710934660117e-05,0.1636505899120452,-0.1267897617032556,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.7444664984365845e-06,1.7444664984365845e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,4.346634384453376e-16,-5.6706134226658944e-05,-0.0006191108319078,-2.3788189110056377e-05,9.070991043643048e-05,-7.661840791633805e-06,1.4622959826819622e-05,-4.08110080792586e-06,1.250041810967308e-07,-1.98503156475691e-06,-4.379595882996165e-06,-2.714633556191792e-07,-5.126905899552963e-06,1.2161853681456289e-06,-5.280825440138484e-06,2.876442042665059e-06,-4.63067970937269e-06,4.61378473558624e-06,-3.7967532754280183e-06,6.153066590855231e-06,-9.532117526428684e-07,8.121584985734165e-06,1.2785163603718292e-06,1.0599066549123693e-05,3.355270607402151e-06,1.3392001028377128e-05,5.175031959505267e-06,1.643238270628365e-05,6.846455436654745e-06,1.9438013414596876e-05,8.293887873589478e-06,2.239292345788986e-05,1.0021901372284178e-05
631.4337486566802,80.62212546181927,-38.88201895111357,293.0821936768985,671.5070733901074,2,1.0,0.0,1.8114437896393604e-06,-4.150362403566559e-06,3.719602904173247e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.5531601224029234e-06,-1.53452417677699e-05,0.1640683712766792,-0.1323014947830625,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.8114437896393604e-06,1.8114437896393609e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,6.843214797093003e-16,-6.282480177313823e-05,-0.0006207098407403,-2.4720646547149404e-05,9.03045678334566e-05,-8.054275796994313e-06,1.4591873101317608e-05,-4.377921452948084e-06,6.460361480327843e-08,-2.222198114101096e-06,-4.464611556725499e-06,-4.5824517987895836e-07,-5.245768952117603e-06,1.0729722049099992e-06,-5.422136276516706e-06,2.778247970146977e-06,-4.797360727381537e-06,4.555826983574526e-06,-3.996477205373229e-06,6.116740044500527e-06,-1.2174867408986754e-06,8.11796741260092e-06,9.616528979503845e-07,1.0642386240762315e-05,2.9830612965558053e-06,1.3488982889021026e-05,4.738423967792854e-06,1.658917638454326e-05,6.341039644213983e-06,1.964881096803306e-05,7.716308962622354e-06,2.2656165790910847e-05,9.375354512565206e-06
643.1119660862162,80.78500827303225,-40.0481600804532,332.4159760790912,689.2783337232293,2,1.0,0.0,1.8833904074969291e-06,-3.905288238977189e-06,3.488142010739788e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.718129986809433e-06,-1.539374689757183e-05,0.1643606500955159,-0.1381505531306394,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.8833904074969291e-06,1.8833904074969291e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,4.904588859867121e-16,-6.949777700626861e-05,-0.0006226718568395,-2.569772782090322e-05,9.001003685938151e-05,-8.467365462481116e-06,1.4593320235477746e-05,-4.69362785622661e-06,1.7179598903544454e-08,-2.47633877144832e-06,-4.544867082060742e-06,-6.599189793248289e-07,-5.36444540640805e-06,9.169210388768196e-07,-5.566373303788093e-06,2.6694943854895405e-06,-4.969402719067155e-06,4.489178560543741e-06,-4.203874839786256e-06,6.072271749513755e-06,-1.49034834706296e-06,8.107523849197333e-06,6.348799519775327e-07,1.068097195171546e-05,2.5987821556108007e-06,1.35834839189323e-05,4.286655565140613e-06,1.6745985810487993e-05,5.816771925650304e-06,1.98616343894047e-05,7.116113143398136e-06,2.2923486696828808e-05,8.702939474407805e-06
655.0061693774861,80.9532872528525,-41.26884401636372,377.0983892074559,704.2124491789845,2,1.0,0.0,1.9607249495140176e-06,-3.6615561306574434e-06,3.814328693616186e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-1.8982051027200423e-06,-1.5451033817385132e-05,0.1645006273206468,-0.1443589182282738,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,1.9607249495140176e-06,1.9607249495140163e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,1.443730046987787e-15,-7.678175455512308e-05,-0.0006249890933753,-2.671984538818593e-05,8.983558844132984e-05,-8.901658578298423e-06,1.4630767626359543e-05,-5.029295661870452e-06,-1.5262814812350657e-08,-2.748683001024872e-06,-4.6190666982729975e-06,-8.777444559427725e-07,-5.482133688814069e-06,7.468008029230814e-07,-5.713104078972906e-06,2.549016392997073e-06,-5.146709861968816e-06,4.412704608159737e-06,-4.419164306782068e-06,6.018464194291834e-06,-1.7722138409885e-06,8.089054507780147e-06,2.975406127016632e-07,1.0713653116024705e-05,2.201434284498055e-06,1.3674335547340842e-05,3.818298752548866e-06,1.6901638928910745e-05,5.271733394018905e-06,2.007526364132874e-05,6.490910669530148e-06,2.3193642208453852e-05,8.001835260388302e-06
667.1203531377791,81.12700980517462,-42.54768770063883,427.33386854347305,714.9022684146075,2,1.0,0.0,2.0438978375462496e-06,-3.419310539204025e-06,3.833626281804995e-17,4,0.0033178996307172,0.0032686174847488,0.0247220855230298,0.0246702480084229,-2.0949288736305657e-06,-1.5516801499096163e-05,0.1644570568031163,-0.1509491310716236,modal_baffled,lossless,0.0,343.0,1.225,1.4,1.81e-05,0.0257,1006.0,1,2.0438978375462496e-06,2.043897837546248e-06,0.0,0.0,True,dirichlet,exp(+iwt)_rms,5333,16,6.057214615449789e-16,-8.473916456922827e-05,-0.0006276493738621,-2.7786843334730437e-05,8.979163536285794e-05,-9.357529677714369e-06,1.4708127851246038e-05,-5.385982231067706e-06,-3.041231768576678e-08,-3.0405071523132527e-06,-4.6856812720191765e-06,-1.1130652189049529e-06,-5.597853178514177e-06,5.612745053575597e-07,-5.861760565301525e-06,2.415527555739168e-06,-5.329092128721858e-06,4.325130628430296e-06,-4.642505526000425e-06,5.953959433990415e-06,-2.063457509713327e-06,8.061182452754695e-06,-5.100271533571775e-08,1.0739062008136364e-05,1.7900008943897212e-06,1.3760143180008232e-05,3.3318623143093886e-06,1.705470402641253e-05,4.703889952405695e-06,2.0288181781610512e-05,5.838149853521218e-06,2.346505956862797e-05,7.269015368844934e-06
